Station,Sediment sample,Latitude Degrees,Latitude Minutes,Latitude Seconds,North/South,Longitude Degrees,Longitude Minutes,Longitude Seconds,East/West,Decimal_Longitude,Decimal_Latitude,Location,FAOarea,Water body,Sea Area,Place,Date,Gear,Depth (fathoms),Bottom water temperature (C) ,Bottom temp (F),Bottom water depth D (fathoms),Specific Gravity at bottom,Surface temp (C),Surface temp (F),Specific Gravity at surface,Temp (F) at 10 Fathoms,Temp (F) at 20 Fathoms,Temp (F) at 25 Fathoms,Temp (F) at 30 Fathoms,Temp (F) at 40 Fathoms,Temp (F) at 50 Fathoms,Temp (F) at 60 Fathoms,Temp (F) at 70 Fathoms,Temp (F) at 75 Fathoms,Temp (F) at 80 Fathoms,Temp (F) at 90 Fathoms,Temp (F) at 100 Fathoms,Temp (F) at 110 Fathoms,Temp (F) at 120 Fathoms,Temp (F) at 125 Fathoms,Temp (F) at 130 Fathoms,Temp (F) at 140 Fathoms,Temp (F) at 150 Fathoms,Temp (F) at 160 Fathoms,Temp (F) at 170 Fathoms,Temp (F) at 175 Fathoms,Temp (F) at 180 Fathoms,Temp (F) at 190 Fathoms,Temp (F) at 200 Fathoms,Temp (F) at 225 Fathoms,Temp (F) at 250 Fathoms,Temp (F) at 275 Fathoms,Temp (F) at 300 Fathoms,Temp (F) at 400 Fathoms,Temp (F) at 500 Fathoms,Temp (F) at 600 Fathoms,Temp (F) at 700 Fathoms,Temp (F) at 800 Fathoms,Temp (F) at 900 Fathoms,Temp (F) at 1000 Fathoms,Temp (F) at 1100 Fathoms,Temp (F) at 1200 Fathoms,Temp (F) at 1300 Fathoms,Temp (F) at 1330 Fathoms,Temp (F) at 1400 Fathoms,Temp (F) at 1450 Fathoms,Temp (F) at 1500 Fathoms,Temp (F) at 1530 Fathoms,Temp (F) at 1580 Fathoms,Temp (F) at 1600 Fathoms,Temp (F) at 1650 Fathoms,Temp (F) at 1700 Fathoms,Temp (F) at 1725 Fathoms,Temp (F) at 1730 Fathoms,Temp (F) at 1775 Fathoms,Temp (F) at 1780 Fathoms,Temp (F) at 1800 Fathoms,Temp (F) at 1825 Fathoms,Temp (F) at 1850 Fathoms,Temp (F) at 1900 Fathoms,Temp (F) at 1915 Fathoms,Temp (F) at 1980 Fathoms,Temp (F) at 2000 Fathoms,Temp (F) at 2025 Fathoms,Temp (F) at 2100 Fathoms,Temp (F) at 2125Fathoms,Temp (F) at 2180 Fathoms,Temp (F) at 2200 Fathoms,Temp (F) at 2225 Fathoms,Temp (F) at 2270 Fathoms,Temp (F) at 2300 Fathoms,Temp (F) at 2325 Fathoms,Temp (F) at 2400 Fathoms,Temp (F) at 2425 Fathoms,Temp (F) at 2400 Fathoms,Temp (F) at 2500 Fathoms,Temp (F) at 2525 Fathoms,Temp (F) at 2600 Fathoms,Temp (F) at 2625 Fathoms,Temp (F) at 2650 Fathoms,Temp (F) at 2675 Fathoms,Temp (F) at 2700 Fathoms,Temp (F) at 2775 Fathoms,Temp (F) at 2800 Fathoms,Temp (F) at 2900 Fathoms,
57B,,32,9,45,N,65,10,50,W,-65.18,32.16,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,30/05/1873,Trawl,1575,,,,,22.78,73.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Coral mud,32,37,0,N,64,21,0,W,-64.35,32.62,North of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,13/06/1873,,1500,2.89,37.20,,,23.06,73.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Globigerina ooze,32,54,0,N,63,22,0,W,-63.37,32.90,Off North-east of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,14/06/1873,,2360,2.39,36.30,2360,1.02857,23.33,74.00,1.02513,,,,,,,,,,,,65.2,,,,,,,,,,,,63.5,,,,62.6,54.2,46.2,41.8,39.8,39.2,38.5,38.3,38.1,37.9,37.7,,37.5,,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Globigerina ooze,34,28,0,N,58,56,0,W,-58.93,34.47,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,16/06/1873,Trawl,2575,2.33,36.20,2575,1.02912,21.94,71.50,1.02546,,,,,,,,,,,,64.2,,,,,,,,,,,,62.8,,,,59.5,52.5,44.5,41.5,40,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Red clay,34,54,0,N,56,38,0,W,-56.63,34.90,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,17/06/1873,Trawl,2850,2.33,36.20,,,21.67,71.00,1.02551,,,67.2,,,66,,,65,,,64,,,,,,,,,,,,63,,,,60.2,53.5,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Red clay,35,7,0,N,52,32,0,W,-52.53,35.12,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,,18/06/1873,,2875,2.44,36.40,2875,1.02916,21.11,70.00,1.02577,,,,,,,,,,,,63.4,,,,,,,,,,,,62.5,,,,58.2,51.5,45.2,41.4,40,39.2,38.9,38.6,38.3,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Globigerina ooze,35,29,0,N,50,53,0,W,-50.88,35.48,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,,19/06/1873,Trawl,2750,,,2750,,21.67,71.00,1.02563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Globigerina ooze,35,35,0,N,50,27,0,W,-50.45,35.58,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,,20/06/1873,Dredge,,,,,,23.89,75.00,,,,,,,,,,,,,63.2,,,,,,,,,,,,62.5,,,,58.8,52.5,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Red clay,36,33,0,N,47,58,0,W,-47.97,36.55,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,,21/06/1873,,2700,2.33,36.20,2700,1.028,22.50,72.50,,,,,,,,,,,,,64,,,,,,,,,,,,63.5,,,,61.2,57.2,52,45.2,42,41,40,39.3,38.7,38.4,38.1,,37.8,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Globigerina ooze,37,24,0,N,44,14,0,W,-44.23,37.40,Mid Atlantic Ridge,21,Northwest Atlantic Ocean,,,22/06/1873,,2750,2.50,36.50,2750,1.02821,21.11,70.00,1.02571,,,,,,,,,,,,63,,,,,,,,,,,,61.5,,,,60.1,55.8,50.5,45,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Globigerina ooze,37,54,0,N,41,44,0,W,-41.73,37.90,Mid Atlantic Ridge,21,Northwest Atlantic Ocean,,,23/06/1873,,2700,2.39,36.30,2700,1.02815,21.11,70.00,,,,,,,,,,,,,63.6,,,,,,,,,,,,60.8,,,,60.1,55,47,42.5,40,38.9,38.5,38.3,38.1,37.9,37.7,,37.5,,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Globigerina ooze,38,3,0,N,39,19,0,W,-39.32,38.05,Mid Atlantic Ridge,27,Northeast Atlantic Ocean,,,24/06/1873,Trawl,2175,2.33,36.20,2175,1.02814,21.11,70.00,1.02548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Globigerina ooze,38,23,0,N,37,21,0,W,-37.35,38.38,Mid Atlantic Ridge,27,Northeast Atlantic Ocean,,,25/06/1873,Trawl,2200,2.33,36.20,,,21.67,71.00,1.02555,,,,,,,,,,,,61.5,,,,,,,,,,,,59.5,,,,56.5,52,47.3,43.4,41.4,40.2,39.7,39.1,38.7,38.4,38.1,,37.8,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Globigerina ooze,38,25,0,N,35,50,0,W,-35.83,38.42,Mid Atlantic Ridge,27,Northeast Atlantic Ocean,,,26/06/1873,Trawl,1675,,,,,21.11,70.00,1.02568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Globigerina ooze,38,18,0,N,34,48,0,W,-34.80,38.30,Mid Atlantic Ridge,27,Northeast Atlantic Ocean,,,27/06/1873,Trawl,1675,2.67,36.80,1675,1.02872,21.67,71.00,1.02537,,,64.2,,,61,,,59.9,,,58.8,,,,,,,,,,,,55.2,,,,50.8,46,42.8,41.2,39.9,39,38.4,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Pteropod ooze,38,34,0,N,32,47,0,W,-32.78,38.57,Mid Atlantic Ridge,27,Northeast Atlantic Ocean,,,28/06/1873,,1240,3.22,37.80,,,21.67,71.00,1.02561,,,64.2,,,63.4,,,62.6,,,61.8,,,,,,,,,,,,57.7,,,,52.5,48,45.2,43.2,41.3,40,39.2,38.5,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Pteropod ooze,38,30,0,N,31,14,0,W,-31.23,38.50,"South of Flores Island, Azores Islands",27,Northeast Atlantic Ocean,,Portugal,30/06/1873,Dredge,1000,4.11,39.40,1000,1.02883,20.56,69.00,,,,,,,,,,,,,59.8,,,,,,,,,,,,57,,,,54,49,45.5,43.4,42,41,40,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Pteropod ooze,38,22,0,N,29,37,0,W,-29.62,38.37,Azores Islands,27,Northeast Atlantic Ocean,,Portugal,01/07/1873,,1350,,,,,21.00,69.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Volcanic mud,38,38,0,N,28,28,30,W,-28.48,38.63,Azores Islands,27,Northeast Atlantic Ocean,,Portugal,02/07/1873,Dredge,450,,,,,21.11,70.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Pteropod ooze,38,11,0,N,27,9,0,W,-27.15,38.18,Azores Islands,27,Northeast Atlantic Ocean,,Portugal,03/07/1873,Dredge,900,4.44,40.00,900,1.02876,21.11,70.00,1.02559,,,,,,,,,,,,56.5,,,,,,,,,,,,53.6,,,,51.6,49.5,47.3,45.2,43.1,41.2,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Hard ground,37,52,0,N,26,26,0,W,-26.43,37.87,Azores Islands,27,Northeast Atlantic Ocean,,Portugal,04/07/1873,,750,,,750,,20.67,69.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Volcanic mud,37,26,0,N,25,13,0,W,-25.22,37.43,Azores Islands,27,Northeast Atlantic Ocean,,Portugal,10/07/1873,Dredge,1000,,,,,21.67,71.00,,,,,,,,,,,,,57.6,,,,,,56,,,,,,54.5,,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Globigerina ooze,36,21,0,N,23,31,0,W,-23.52,36.35,SE of Azores Islands,27,Northeast Atlantic Ocean,,Portugal,11/07/1873,Dredge,2025,2.17,35.90,,,21.94,71.50,,,,,,,,,,,,,56.4,,,,,,,,,,,,53.5,,,,51.6,49.8,47.9,46,44,42.3,40.8,39.6,38.7,38,37.7,,37.4,,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Globigerina ooze,35,3,0,N,21,25,0,W,-21.42,35.05,Between Azores Islands and Madeira Island,34,Eastern Central Atlantic Ocean,,Portugal,12/07/1873,,2660,2.56,36.60,2660,1.02801,21.67,71.00,1.02549,,,63.2,,,59.7,,,57.8,,,56.4,,,,,,,,,,,,53.6,,,,52,50.9,49.5,47.9,45.5,43.1,40.5,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Globigerina ooze,34,11,0,N,19,52,0,W,-19.87,34.18,Between Azores Islands and Madeira Island,34,Eastern Central Atlantic Ocean,,Portugal,13/07/1873,,2675,2.78,37.00,,,21.67,71.00,1.02556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Globigerina ooze,33,46,0,N,19,17,0,W,-19.28,33.77,Off north-west of Madeira Island,34,Eastern Central Atlantic Ocean,,Portugal,14/07/1873,,2400,2.56,36.60,2400,1.02901,21.50,70.70,1.02565,,,65.5,,,61.8,,,59.3,,,57.8,,,,,,,,,,,,53.8,,,,52,51,49.6,48.2,46.2,43.6,41.2,39.7,39,38.6,38.2,,37.8,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Globigerina ooze,33,13,0,N,18,13,0,W,-18.22,33.22,Off north-west of Madeira Island,34,Eastern Central Atlantic Ocean,,Portugal,15/07/1873,Dredge,1650,2.78,37.00,1650,1.02824,21.67,71.00,1.02585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,30,38,0,N,18,5,0,W,-18.08,30.63,Between Madeira Island and Canary Islands,34,Eastern Central Atlantic Ocean,,,18/07/1873,,,,,,,21.67,71.00,1.02574,,,68,,,64.6,,,62.5,,,61,,,,,,,,,,,,56.3,,,,53,50.5,48.3,46.2,44.4,42.6,41.2,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Volcanic mud,28,42,0,N,18,6,0,W,-18.10,28.70,"La Palma Island, Canary Islands",34,Eastern Central Atlantic Ocean,,Spanish territory,19/07/1873,Dredge,1125,,,,,20.67,69.20,1.02608,,,63,,,61.2,,,59.8,,,58.5,,,,,,,,,,,,54.8,,,,51.5,48.5,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Globigerina ooze,25,46,0,N,20,34,0,W,-20.57,25.77,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,21/07/1873,,2300,2.56,36.60,2300,1.02832,21.67,71.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,25,49,0,N,20,12,0,W,-20.20,25.82,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,21/07/1873,Dredge,1675,,,,,22.22,72.00,1.02582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Globigerina ooze,23,58,0,N,21,18,0,W,-21.30,23.97,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,22/07/1873,,2300,2.44,36.40,2300,1.02819,22.22,72.00,1.02592,,,,,,,,,,,,61,,,,,,,,,,,,55.4,,,,50.4,46.8,43.2,42,41,40.1,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Globigerina ooze,22,18,0,N,22,2,0,W,-22.03,22.30,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,23/07/1873,Trawl,2400,2.56,36.60,,,23.06,73.50,1.02532,,,,,,,,,,,,64,,,,,,,,,,,,56,,,,50.5,47,44.5,43,42,41,40,39,38,37.4,37,,36.8,,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Globigerina ooze,20,58,0,N,22,57,0,W,-22.95,20.97,Off Mauritania,34,Eastern Central Atlantic Ocean,,Mauritania,24/07/1873,,2400,2.50,36.50,2400,1.02851,23.33,74.00,1.0249,,,,,,,,,,,,62.2,,,,,,,,,,,,56,,,,50.7,46.7,44,42.2,40.8,39.8,39.1,38.6,38.2,37.8,37.4,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Globigerina ooze,19,4,0,N,24,6,0,W,-24.10,19.07,N of Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,25/07/1873,,2075,2.50,36.50,2075,1.02902,23.33,74.00,,,,,,,,,,,,,60,,,,,,,,,,,,54,,,,49.5,46.2,43.5,41.9,40.7,39.8,39.1,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Globigerina ooze,17,54,0,N,24,41,0,W,-24.68,17.90,N of Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,26/07/1873,Dredge,1975,,,,,23.72,74.70,1.02493,,,,,,68,,,,,,62,,,,,,,,,,,,52,,,,47.2,44.2,42.4,41.4,40.5,39.9,39.3,38.8,38.3,38,37.8,,37.6,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Volcanic mud,17,12,45,N,24,55,45,W,-24.93,17.21,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,27/07/1873,,1070,,,,,23.89,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93A,Volcanic mud,17,3,30,N,24,53,0,W,-24.88,17.06,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,27/07/1873,,1000,,,,,23.89,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93B,Volcanic mud,16,59,15,N,24,57,45,W,-24.96,16.99,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,27/07/1873,,465,6.39,43.50,,,23.89,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93C,Coralline sand,16,57,15,N,25,1,0,W,-25.02,16.95,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,27/07/1873,,52,,,,,24.44,76.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93D,Coralline mud,16,55,45,N,23,3,45,W,-23.06,16.93,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,05/08/1873,,103,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93E,Coralline mud,16,52,15,N,25,6,45,W,-25.11,16.87,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,05/08/1873,,85,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93F,Volcanic mud,16,50,0,N,25,8,0,W,-25.13,16.83,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,05/08/1873,,260,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93G,Volcanic mud,16,46,0,N,25,10,0,W,-25.17,16.77,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,05/08/1873,,675,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Volcanic mud,16,42,0,N,25,12,0,W,-25.20,16.70,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,05/08/1873,,1150,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Globigerina ooze,13,36,0,N,22,49,0,W,-22.82,13.60,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,10/08/1873,,2300,2.50,36.50,2300,1.02805,26.11,79.00,,76,65.2,,,,,,,,,,52.5,,,,,,,,,,,,49.5,,,,46.4,43.3,41.1,40.5,40,39.7,39.3,38.9,38.5,38.5,37.8,,37.6,,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,12,15,0,N,22,28,0,W,-22.47,12.25,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,11/08/1873,,,,,,,25.94,78.70,,70.5,62.8,60.2,,,54.2,,,53,,,52.2,,,51.4,,,,,,,,,49.1,,47.5,,45.9,42.9,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Globigerina ooze,10,25,0,N,20,30,0,W,-20.50,10.42,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,13/08/1873,,2575,2.56,36.60,2575,1.02804,25.56,78.00,1.02346,,,69,,,59.4,,,55,,,53.2,,,,,,,,,,,,48.7,,,,45,42.2,40.5,40.2,40,39.2,38.4,38,37.6,37.2,36.8,,36.7,,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Globigerina ooze,9,21,0,N,18,28,0,W,-18.47,9.35,Off Guinea,34,Eastern Central Atlantic Ocean,,Guinea,14/08/1873,Dredge,1750,2.61,36.70,1750,1.02805,25.67,78.20,1.02339,,,66.5,,,59.3,,,55.5,,,54.2,,,53.1,,,52,,,,,,49.7,,,,45.2,42,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,7,53,0,N,17,26,0,W,-17.43,7.88,Off Sierra Leone,34,Eastern Central Atlantic Ocean,,Sierra Leone,15/08/1873,,,,,,,25.56,78.00,,,,,,,63.2,,,,,,56.2,,,,,,,,,,,,49.8,,,,45.8,42.2,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,7,1,0,N,15,55,0,W,-15.92,7.02,Off Sierra Leone,34,Eastern Central Atlantic Ocean,,Sierra Leone,16/08/1873,,2425,,,,,26.11,79.00,,79,78,,73.4,64.2,60.8,,,56.8,,,55.2,,,,,,,,,,,,49.5,,,,45,42,40.4,39.7,39.4,39.1,38.8,38.5,38.2,38,37.8,,37.6,,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Blue mud,5,48,0,N,14,20,0,W,-14.33,5.80,Sierra Leone Basin,34,Eastern Central Atlantic Ocean,,Sierra Leone,19/08/1873,Trawl,2500,2.44,36.40,,,26.22,79.20,1.02348,,,72.6,,,62.5,,,58.8,,,56.2,,,54.1,,,52.2,,,,,,48.3,,,,43.3,40.8,39.7,39.5,39.4,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Globigerina ooze,3,8,0,N,14,29,0,W,-14.48,3.13,Sierra Leone Basin,34,Eastern Central Atlantic Ocean,,Sierra Leone,21/08/1873,,2450,2.44,36.40,2450,1.02796,25.56,78.00,1.02324,78.5,76.2,,73.5,70.5,67.8,65,,61,,,57,,,,,,51.3,,,,,,46.8,,,,41.8,40.6,39.9,39.4,39,38.7,38.4,38.1,37.8,37.6,37.4,,37.2,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Globigerina ooze,2,52,0,N,17,0,0,W,-17.00,2.87,Sierra Leone Basin,34,Eastern Central Atlantic Ocean,,Sierra Leone,22/08/1873,,2475,2.22,36.00,,,25.00,77.00,,,76.5,,74.7,70.5,63.8,62.2,60.8,,59.4,57.9,56.4,,,,,,51.5,,,,,,47.5,,,,43,40.6,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Globigerina ooze,2,25,0,N,20,1,0,W,-20.02,2.42,Sierra Leone Basin,34,Eastern Central Atlantic Ocean,,Sierra Leone,23/08/1873,Trawl,2500,2.56,36.60,2500,1.02801,25.56,78.00,1.02339,78.4,77.8,,76,68.8,63.8,60.5,,,,,55,,,,,,,,,,,,49,,,,45,42.4,40.7,39.7,39.2,38.9,38.6,38.2,37.9,37.6,37.3,,37,,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Globigerina ooze,2,6,0,N,22,53,0,W,-22.88,2.10,Sierra Leone Basin,34,Eastern Central Atlantic Ocean,,Sierra Leone,24/08/1873,,2275,2.22,36.00,,,25.56,78.00,,,,,,,,,,,,,56,,,,,,,,,,,,46,,,,42.8,41,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Globigerina ooze,1,47,0,N,24,26,0,W,-24.43,1.78,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,25/08/1873,Trawl,1850,2.56,36.60,,,26.00,78.80,1.02332,78.6,78.4,,78.2,76.2,62.4,59,58,,,,55,,,,,,,,,,,,45,,,,40.7,40.5,40.3,40.2,40.1,40,39.6,39.2,38.8,38.4,38,,37.6,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Globigerina ooze,1,22,0,N,26,36,0,W,-26.60,1.37,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,26/08/1873,Trawl,1500,3.28,37.90,,,26.00,78.80,1.02335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Globigerina ooze,1,10,0,N,28,23,0,W,-28.38,1.17,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,27/08/1873,,1900,2.67,36.80,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Hard ground,0,55,38,N,29,22,35,W,-29.38,0.93,St. Paul Rocks,34,Eastern Central Atlantic Ocean,,Brazil,28/08/1873,Dredge,104,,,,,25.39,77.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109A,Hard ground,0,54,43,N,29,23,32,W,-29.39,0.91,St. Paul Rocks,34,Eastern Central Atlantic Ocean,,Brazil,29/08/1873,,475,,,,,25.56,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
